idsolicitud,total_activo,total_pasivo,patrimonio,fecha
"000000426","1460.00","0.00","1460.00","2018-02-22"
"000000427","21910.00","0.00","21910.00","2018-03-10"
"000000428","5650.00","432.00","5218.00","2018-03-01"
"000000429","36000.00","26500.00","9500.00","2018-02-28"
"000000430","300.00","0.00","300.00","2018-03-27"
"000000431","8150.00","0.00","8150.00","2018-03-26"
"000000432","17450.00","0.00","17450.00","2018-03-10"
"000000433","28500.00","2775.00","25725.00","2018-05-08"
"000000434","6200.00","0.00","6200.00","2018-03-10"
"000000435","200.00","0.00","200.00","2018-05-08"
"000000436","6700.00","0.00","6700.00","2018-05-08"
"000000437","1100.00","0.00","1100.00","2018-05-08"
"000000438","28000.00","8252.00","19748.00","2018-03-10"
"000000439","51000.00","0.00","51000.00","2018-05-08"
"000000440","8700.00","1000.00","7700.00","2018-03-10"
"000000441","8700.00","1000.00","7700.00","2018-03-10"
"000000442","1510.00","0.00","1510.00","2018-05-09"
"000000443","900.00","0.00","900.00","2018-05-09"
"000000444","17300.00","0.00","17300.00","2018-02-17"
"000000445","5050.00","0.00","5050.00","2018-03-10"
"000000446","3300.00","0.00","3300.00","2018-02-23"
"000000447","2850.00","0.00","2850.00","2018-05-09"
"000000448","6780.00","0.00","6780.00","2018-02-26"
"000000449","8150.00","0.00","8150.00","2018-05-10"
"000000450","16500.00","6017.00","10483.00","2018-02-26"
"000000451","1500.00","0.00","1500.00","2018-04-12"
"000000452","3250.00","0.00","3250.00","2018-03-24"
"000000453","28000.00","8252.00","19748.00","2018-03-10"
"000000454","4150.00","144.00","4006.00","2018-02-28"
"000000455","820.00","0.00","820.00","2018-05-11"
"000000456","47900.00","17407.00","30493.00","2018-02-22"
"000000457","6620.00","0.00","6620.00","2018-04-03"
"000000458","8090.00","0.00","8090.00","2018-03-02"
"000000459","14900.00","0.00","14900.00","2018-04-06"
"000000460","7340.00","0.00","7340.00","2018-02-16"
"000000461","100.00","0.00","100.00","2018-05-11"
"000000462","16500.00","6017.00","10483.00","2018-02-26"
"000000463","83500.00","0.00","83500.00","2018-03-02"
"000000464","20950.00","0.00","20950.00","2018-02-28"
"000000465","18300.00","0.00","18300.00","2018-03-02"
"000000466","22200.00","0.00","22200.00","2018-04-03"
"000000467","29200.00","398.00","28802.00","2018-03-10"
"000000468","9100.00","0.00","9100.00","2018-04-27"
"000000469","5300.00","0.00","5300.00","2018-04-19"
"000000470","51000.00","0.00","51000.00","2018-05-08"
"000000471","6700.00","0.00","6700.00","2018-05-08"
"000000472","7600.00","193.00","7407.00","2018-03-02"
"000000473","7650.00","0.00","7650.00","2018-05-15"
"000000474","4720.00","0.00","4720.00","2018-02-21"
"000000475","2400.00","0.00","2400.00","2018-04-18"
"000000476","100.00","0.00","100.00","2018-04-12"
"000000477","4850.00","0.00","4850.00","2018-04-06"
"000000478","1450.00","0.00","1450.00","2018-04-17"
"000000479","47900.00","17407.00","30493.00","2018-02-22"
"000000480","39000.00","16883.00","22117.00","2018-03-02"
"000000481","5800.00","0.00","5800.00","2018-05-16"
"000000482","15600.00","1800.00","13800.00","2018-02-21"
"000000483","10090.00","0.00","10090.00","2018-04-26"
"000000484","14900.00","0.00","14900.00","2018-04-06"
"000000485","980.00","0.00","980.00","2018-03-16"
"000000486","180.00","0.00","180.00","2018-05-17"
"000000487","15200.00","0.00","15200.00","2018-02-27"
"000000488","5080.00","0.00","5080.00","2018-04-18"
"000000489","5600.00","0.00","5600.00","2018-05-17"
"000000490","8150.00","0.00","8150.00","2018-03-26"
"000000491","6730.00","0.00","6730.00","2018-04-05"
"000000492","17300.00","0.00","17300.00","2018-04-03"
"000000493","8700.00","1000.00","7700.00","2018-03-10"
"000000494","100.00","0.00","100.00","2018-04-18"
"000000495","6750.00","0.00","6750.00","2018-03-10"
"000000496","99999.99","63713.00","99999.99","2018-04-20"
"000000497","1500.00","0.00","1500.00","2018-02-27"
"000000499","51000.00","0.00","51000.00","2018-05-08"
"000000500","9850.00","0.00","9850.00","2018-02-27"
"000000501","8100.00","3000.00","5100.00","2018-03-13"
"000000502","8700.00","1000.00","7700.00","2018-03-10"
"000000503","5300.00","0.00","5300.00","2018-02-19"
"000000504","8500.00","0.00","8500.00","2018-05-21"
"000000505","18800.00","0.00","18800.00","2018-04-17"
"000000507","2250.00","0.00","2250.00","2018-04-14"
"000000508","12300.00","0.00","12300.00","2018-03-05"
"000000509","15200.00","0.00","15200.00","2018-04-16"
"000000510","6700.00","0.00","6700.00","2018-05-08"
"000000511","1600.00","0.00","1600.00","2018-02-14"
"000000512","78700.00","0.00","78700.00","2018-04-09"
"000000513","5250.00","0.00","5250.00","2018-04-25"
"000000514","10150.00","0.00","10150.00","2018-04-12"
"000000515","9100.00","0.00","9100.00","2018-04-27"
"000000516","10090.00","0.00","10090.00","2018-04-26"
"000000517","14300.00","0.00","14300.00","2018-05-22"
"000000518","49600.00","5000.00","44600.00","2018-02-07"
"000000519","13500.00","0.00","13500.00","2018-02-13"
"000000520","6700.00","0.00","6700.00","2018-03-10"
"000000521","3230.00","0.00","3230.00","2018-05-23"
"000000522","16900.00","9324.00","7576.00","2018-02-23"
"000000523","4800.00","0.00","4800.00","2018-04-06"
"000000524","8200.00","0.00","8200.00","2018-03-27"
"000000525","3300.00","0.00","3300.00","2018-02-23"
"000000526","15800.00","1500.00","14300.00","2018-02-19"
"000000527","6900.00","0.00","6900.00","2018-03-17"
"000000528","20200.00","0.00","20200.00","2018-02-08"
"000000529","5100.00","0.00","5100.00","2018-05-05"
"000000531","49600.00","5000.00","44600.00","2018-02-07"
"000000532","2500.00","1008.00","1492.00","2018-03-01"
"000000533","99999.99","63713.00","99999.99","2018-04-20"
"000000534","24150.00","1600.00","22550.00","2018-02-27"
"000000535","6150.00","908.00","5242.00","2018-02-26"
"000000536","6750.00","0.00","6750.00","2018-03-10"
"000000537","300.00","0.00","300.00","2018-03-22"
"000000538","3550.00","0.00","3550.00","2018-03-23"
"000000539","1200.00","0.00","1200.00","2018-03-17"
"000000540","78700.00","0.00","78700.00","2018-04-09"
"000000541","7700.00","0.00","7700.00","2018-03-10"
"000000542","2130.00","125.00","2005.00","2018-03-12"
"000000543","18150.00","0.00","18150.00","2018-02-19"
