idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000018080","000017243","PAGO","65.40","1.50","66.90"
"000018086","000017441","PAGO","620.00","16.00","636.00"
"000018089","000017561","PAGO","81.60","0.30","81.90"
"000018090","000017190","PAGO","53.60","-1.50","52.10"
"000018091","000017651","PAGO","40.00","0.00","40.00"
"000018094","000017247","PAGO","68.40","1.20","69.60"
"000018098","000017323","PAGO","50.00","2.40","52.40"
"000018100","000017539","PAGO","318.00","0.00","318.00"
"000018103","000017249","PAGO","48.00","1.50","49.50"
"000018104","000017440","PAGO","81.00","0.30","81.30"
"000018107","000017655","PAGO","270.00","0.40","270.40"
"000018109","000017412","PAGO","0.00","5.60","5.60"
"000018111","000017432","PAGO","0.00","3.00","3.00"
"000018112","000017409","PAGO","226.10","2.40","228.50"
"000018113","000017446","PAGO","319.00","2.40","321.40"
"000018116","000017509","PAGO","222.80","0.40","223.20"
"000018117","000017196","PAGO","85.00","2.40","87.40"
"000018118","000017378","PAGO","108.00","0.90","108.90"
"000018119","000017346","PAGO","1750.00","10.00","1760.00"
"000018120","000017460","PAGO","0.00","0.30","0.30"
"000018121","000017361","PAGO","1620.00","2.00","1622.00"
"000018122","000017471","PAGO","16.00","0.00","16.00"
"000018124","000017534","PAGO","448.00","4.00","452.00"
"000018127","000017538","PAGO","121.10","1.50","122.60"
"000018129","000017271","PAGO","122.60","6.40","129.00"
"000018130","000017606","PAGO","0.00","0.90","0.90"
"000018131","000015230","PAGO","0.00","0.60","0.60"
"000018132","000016948","PAGO","0.00","1.50","1.50"
"000018133","000017532","PAGO","38.00","0.00","38.00"
"000018135","000017119","PAGO","66.40","3.90","70.30"
"000018137","000017431","PAGO","1154.00","0.00","1154.00"
"000018138","000017315","PAGO","38.00","0.00","38.00"
"000018139","000017217","PAGO","31.00","0.30","31.30"
"000018140","000017473","PAGO","228.90","0.40","229.30"
"000018143","000017371","PAGO","735.00","3.20","738.20"
"000018145","000017864","PAGO","95.10","0.30","95.40"
"000018147","000017552","PAGO","1673.80","14.00","1687.80"
"000018148","000017658","PAGO","472.50","4.00","476.50"
"000018150","000014691","PAGO","0.00","0.90","0.90"
"000018151","000017258","PAGO","0.00","1.60","1.60"
"000018155","000017393","PAGO","115.10","1.80","116.90"
"000018158","000017578","PAGO","0.00","0.00","0.00"
"000018159","000015882","PAGO","0.00","0.80","0.80"
"000018159","000017136","PAGO","0.00","0.40","0.40"
"000018159","000017390","PAGO","232.00","1.20","233.20"
"000018160","000017500","PAGO","226.00","0.40","226.40"
"000018161","000017057","PAGO","0.00","0.00","0.00"
"000018162","000017318","PAGO","630.00","3.00","633.00"
"000018163","000017464","PAGO","126.40","0.90","127.30"
"000018164","000017550","PAGO","0.00","2.00","2.00"
"000018167","000017400","PAGO","152.60","2.00","154.60"
"000018168","000017275","PAGO","0.00","2.10","2.10"
"000018169","000017312","PAGO","252.00","1.60","253.60"
"000018171","000017435","PAGO","216.00","1.60","217.60"
"000018172","000017692","PAGO","302.00","3.20","305.20"
"000018175","000017265","PAGO","0.00","3.60","3.60"
"000018176","000017549","PAGO","181.00","1.20","182.20"
"000018177","000016296","PAGO","0.00","1.80","1.80"
"000018179","000017465","PAGO","0.00","0.00","0.00"
"000018184","000017569","PAGO","216.40","0.80","217.20"
"000018186","000014500","PAGO","0.00","1.60","1.60"
"000018186","000015293","PAGO","0.00","6.40","6.40"
"000018186","000015418","PAGO","0.00","5.60","5.60"
"000018188","000017470","PAGO","1089.20","2.00","1091.20"
"000018190","000017284","PAGO","1524.40","0.00","1524.40"
"000018192","000017731","PAGO","426.00","1.60","427.60"
"000018193","000017230","PAGO","17.20","0.00","17.20"
"000018195","000017593","PAGO","170.00","0.00","170.00"
"000018196","000016595","PAGO","0.00","0.00","0.00"
"000018197","000016763","PAGO","0.00","0.30","0.30"
"000018198","000017428","PAGO","289.20","1.20","290.40"
"000018200","000017264","PAGO","0.00","0.60","0.60"
"000018201","000017629","PAGO","681.10","0.00","681.10"
"000018202","000017815","PAGO","1575.00","0.00","1575.00"
"000018203","000017421","PAGO","85.00","0.60","85.60"
"000018204","000017288","PAGO","0.00","1.80","1.80"
"000018205","000017326","PAGO","18.20","0.60","18.80"
"000018206","000017623","PAGO","210.00","0.00","210.00"
"000018208","000017787","PAGO","0.00","0.00","0.00"
"000018209","000016860","PAGO","0.00","0.90","0.90"
"000018210","000017535","PAGO","202.00","1.60","203.60"
"000018211","000017677","PAGO","0.00","0.00","0.00"
"000018222","000017334","PAGO","0.00","3.90","3.90"
"000018223","000016819","PAGO","0.00","3.20","3.20"
"000018226","000017302","PAGO","34.40","0.80","35.20"
"000018227","000017547","PAGO","1090.00","0.00","1090.00"
"000018229","000017490","PAGO","180.00","0.80","180.80"
"000018230","000017316","PAGO","670.00","4.00","674.00"
"000018231","000017490","DEBE","180.00","0.80","180.80"
"000018232","000017758","PAGO","212.00","1.20","213.20"
"000018233","000017721","PAGO","62.20","0.60","62.80"
"000018234","000017439","PAGO","0.00","0.40","0.40"
"000018235","000017414","PAGO","0.00","3.00","3.00"
"000018236","000017515","PAGO","252.80","0.40","253.20"
"000018240","000017642","PAGO","1174.90","3.20","1178.10"
"000018242","000017674","PAGO","1060.00","10.00","1070.00"
"000018244","000017305","PAGO","501.00","0.80","501.80"
"000018245","000017438","PAGO","92.00","0.80","92.80"
"000018247","000011716","PAGO","0.00","0.90","0.90"
"000018248","000017789","PAGO","94.40","1.50","95.90"
"000018259","000017870","PAGO","23.00","0.90","23.90"
"000018262","000017360","PAGO","30.00","0.30","30.30"
"000018263","000017397","PAGO","174.70","2.80","177.50"
"000018267","000017357","PAGO","70.90","0.80","71.70"
"000018269","000017656","PAGO","46.40","0.60","47.00"
"000018271","000017309","PAGO","49.00","0.80","49.80"
"000018273","000017686","PAGO","272.50","0.00","272.50"
"000018276","000017285","PAGO","23.50","0.80","24.30"
"000018278","000017782","PAGO","262.50","1.60","264.10"
"000018279","000017595","PAGO","485.50","1.60","487.10"
"000018282","000017678","PAGO","26.50","0.30","26.80"
"000018283","000017657","PAGO","262.50","4.00","266.50"
"000018284","000017669","PAGO","284.60","0.40","285.00"
"000018286","000017313","PAGO","43.60","1.20","44.80"
"000018287","000013107","PAGO","0.00","4.00","4.00"
"000018289","000017851","PAGO","253.00","0.00","253.00"
"000018290","000017367","PAGO","0.00","2.70","2.70"
"000018295","000017597","PAGO","275.00","8.00","283.00"
"000018296","000017715","PAGO","630.00","1.00","631.00"
"000018301","000017437","PAGO","109.00","1.60","110.60"
"000018302","000017410","PAGO","83.40","1.20","84.60"
"000018308","000016891","PAGO","0.00","0.80","0.80"
"000018308","000017574","PAGO","405.00","4.80","409.80"
"000018313","000017491","PAGO","74.50","2.00","76.50"
"000018315","000016708","PAGO","0.00","3.20","3.20"
"000018315","000017522","PAGO","436.00","2.40","438.40"
"000018316","000017417","PAGO","183.40","1.20","184.60"
"000018318","000017701","PAGO","778.00","5.00","783.00"
"000018319","000017624","PAGO","162.80","0.60","163.40"
"000018320","000017402","PAGO","106.00","5.40","111.40"
"000018321","000017403","PAGO","106.00","5.40","111.40"
"000018324","000017745","PAGO","817.50","3.00","820.50"
"000018328","000017761","PAGO","109.00","0.00","109.00"
"000018329","000017478","PAGO","144.00","0.80","144.80"
"000018330","000017609","PAGO","136.10","2.70","138.80"
"000018331","000017355","PAGO","0.00","0.60","0.60"
"000018334","000017577","PAGO","76.00","0.00","76.00"
"000018335","000017527","PAGO","128.40","0.40","128.80"
"000018336","000017573","PAGO","30.00","0.00","30.00"
"000018337","000017746","PAGO","218.00","0.00","218.00"
"000018340","000017780","PAGO","0.00","0.90","0.90"
"000018341","000017554","PAGO","180.00","0.00","180.00"
"000018345","000017807","PAGO","0.00","0.30","0.30"
"000018349","000015582","PAGO","0.00","1.50","1.50"
"000018353","000017750","PAGO","362.00","0.80","362.80"
"000018354","000017408","PAGO","0.00","2.40","2.40"
"000018356","000017455","PAGO","0.00","1.80","1.80"
"000018357","000017399","PAGO","126.00","2.80","128.80"
"000018358","000017233","PAGO","0.00","3.60","3.60"
"000018359","000017797","PAGO","42.40","0.90","43.30"
"000018360","000017202","PAGO","0.00","2.80","2.80"
"000018362","000017427","PAGO","74.50","0.40","74.90"
"000018366","000017571","PAGO","130.80","1.20","132.00"
"000018368","000017744","PAGO","163.00","0.00","163.00"
"000018369","000017461","PAGO","0.00","0.40","0.40"
"000018370","000017463","PAGO","0.00","0.30","0.30"
"000018372","000017563","PAGO","261.60","1.60","263.20"
"000018374","000017487","PAGO","0.00","0.30","0.30"
"000018376","000017785","PAGO","212.50","1.60","214.10"
"000018377","000017751","PAGO","0.00","0.30","0.30"
"000018381","000017708","PAGO","98.10","0.00","98.10"
"000018393","000017555","PAGO","545.00","5.60","550.60"
"000018394","000017682","PAGO","40.00","0.00","40.00"
"000018395","000017790","PAGO","210.00","0.00","210.00"
"000018397","000017169","PAGO","0.00","3.30","3.30"
"000018400","000017486","PAGO","0.00","0.80","0.80"
"000018402","000017802","PAGO","162.00","0.80","162.80"
"000018403","000017966","PAGO","138.00","0.00","138.00"
"000018404","000017741","PAGO","435.40","2.40","437.80"
"000018405","000017728","PAGO","0.00","0.30","0.30"
"000018406","000017663","PAGO","100.20","1.20","101.40"
"000018407","000017620","PAGO","756.00","0.00","756.00"
"000018409","000016843","PAGO","0.00","2.40","2.40"
"000018417","000017583","PAGO","0.00","1.20","1.20"
"000018418","000017330","PAGO","0.00","3.30","3.30"
"000018419","000017705","PAGO","1464.00","30.00","1494.00"
"000018420","000017660","PAGO","25.00","0.00","25.00"
"000018421","000017467","PAGO","0.00","1.60","1.60"
"000018424","000017654","PAGO","85.80","1.20","87.00"
"000018426","000017359","PAGO","0.00","3.60","3.60"
"000018427","000018049","PAGO","730.00","2.00","732.00"
"000018428","000017560","PAGO","143.60","1.20","144.80"
"000018434","000018007","PAGO","71.80","0.30","72.10"
"000018437","000016476","PAGO","0.00","1.80","1.80"
